employee_id,name,age,salary,department,years_experience,performance_score,hire_date,is_remote,salary_band,tenure_years
1,Employee_1,38,43769.44,HR,1.5,2.4,2020-09-06,False,Low,5.160848733744011
2,Employee_2,33,58690.32,HR,0.1,3.83,2021-11-04,False,Medium,4.0
3,Employee_3,40,59859.28,IT,13.5,2.93,2021-03-13,True,Medium,4.646132785763176
4,Employee_4,47,52965.84,IT,3.5,2.51,2020-04-27,True,Medium,5.522245037645448
5,Employee_5,33,62580.71,IT,3.9,3.82,2022-02-09,False,Medium,3.7344284736481863
6,Employee_6,33,71060.76,Finance,5.8,1.99,2023-08-22,False,High,2.2039698836413417
7,Employee_7,47,93292.79,Operations,4.8,2.32,2020-09-24,True,Very High,5.111567419575633
8,Employee_8,41,67618.67,HR,14.4,2.74,2022-12-13,True,Medium,2.8939082819986313
9,Employee_9,31,68863.26,HR,14.4,2.01,2020-08-23,False,Medium,5.19917864476386
10,Employee_10,39,63883.31,Finance,10.1,2.62,2021-01-23,False,Medium,4.780287474332649
11,Employee_11,31,36218.43,HR,5.1,3.29,2022-09-16,False,Low,3.134839151266256
12,Employee_12,31,64602.29,IT,8.1,3.96,2022-02-01,False,Medium,3.756331279945243
13,Employee_13,36,65903.45,Operations,5.7,4.07,2021-02-04,False,Medium,4.747433264887063
14,Employee_14,22,101948.63,Marketing,4.3,4.29,2021-09-15,False,Very High,4.136892539356605
15,Employee_15,22,62114.59,HR,0.7,3.98,2022-02-05,True,Medium,3.7453798767967146
16,Employee_16,30,69523.21,IT,8.3,2.51,2023-08-19,True,Medium,2.212183436002738
17,Employee_17,26,64479.32,Marketing,8.6,1.95,2022-07-07,False,Medium,3.3292265571526354
18,Employee_18,37,47469.83,Operations,4.9,2.6,2023-05-15,False,Low,2.4750171115674195
19,Employee_19,27,82142.34,Marketing,8.6,2.91,2023-06-06,False,High,2.414784394250513
20,Employee_20,23,76279.0,IT,5.3,1.33,2022-05-02,False,High,3.509924709103354
21,Employee_21,46,76865.48,Marketing,1.2,3.11,2021-07-31,True,High,4.262833675564682
22,Employee_22,33,51359.19,Finance,1.6,2.75,2020-03-15,False,Medium,5.639972621492129
23,Employee_23,35,86041.91,Marketing,1.2,4.21,2021-03-10,False,High,4.654346338124572
24,Employee_24,23,43972.23,HR,2.4,4.91,2020-04-12,True,Low,5.563312799452429
25,Employee_25,30,73802.86,HR,0.2,3.22,2023-12-16,True,High,1.8863791923340179
26,Employee_26,35,97856.83,Finance,4.8,2.29,2022-02-02,False,Very High,3.753593429158111
27,Employee_27,25,50141.96,IT,2.1,1.17,2022-01-07,True,Medium,3.8247775496235454
28,Employee_28,38,56505.53,HR,5.3,4.7,2022-03-16,False,Medium,3.6386036960985626
29,Employee_29,30,66494.77,Operations,2.4,4.68,2023-08-22,True,Medium,2.2039698836413417
30,Employee_30,32,57447.87,HR,5.7,2.01,2020-04-07,False,Medium,5.577002053388091
31,Employee_31,30,41740.05,HR,2.1,3.78,2022-03-08,True,Low,3.6605065023956196
32,Employee_32,49,66028.44,IT,1.5,1.3,2023-09-20,False,Medium,2.1245722108145104
33,Employee_33,34,49065.44,Marketing,3.4,1.66,2022-05-08,False,Low,3.4934976043805612
34,Employee_34,26,72103.89,HR,5.9,1.87,2021-03-10,False,High,4.654346338124572
35,Employee_35,41,51208.64,Finance,2.1,2.18,2021-03-22,False,Medium,4.621492128678987
36,Employee_36,25,88249.02,Marketing,13.8,4.98,2023-08-24,False,High,2.198494182067077
37,Employee_37,36,53251.2,Operations,0.2,3.79,2020-09-05,True,Medium,5.163586584531143
38,Employee_38,22,60169.08,IT,2.7,2.54,2020-06-14,False,Medium,5.390828199863107
39,Employee_39,24,77202.76,Operations,17.1,3.95,2022-09-10,False,High,3.1512662559890487
40,Employee_40,36,46537.04,Marketing,4.0,4.66,2023-09-20,False,Low,2.1245722108145104
41,Employee_41,40,68411.9,Marketing,2.8,4.83,2022-10-16,False,Medium,3.052703627652293
42,Employee_42,36,84607.14,Marketing,4.2,1.23,2021-06-25,True,High,4.361396303901437
43,Employee_43,34,40887.75,Operations,4.3,2.58,2022-01-28,True,Low,3.7672826830937716
44,Employee_44,32,67769.51,Marketing,6.6,1.43,2023-02-03,False,Medium,2.751540041067762
45,Employee_45,23,68898.24,Operations,0.7,3.77,2020-03-21,False,Medium,5.623545516769336
